Configuración del modelo;Hash;R²;MAE;RMSE;Acc.;F1;ROC-AUC;IRB Regr.;IRB Clas.;IRB Total
LSTMv3.4 (25,[128],0.15,64,0.00082) (YeoJohnson) (Standard) + 123 (Backtesting [5d]);af4dfe87;0,3936;6,6072;7,9868;0,4407;0,4762;0,4397;0,5185;0,8601;0,7064
LSTMv3.4 (20,[192],0.05,128,0.00402) (YeoJohnson) (Standard) + 3 (Backtesting [5d]);13b96953;0,3609;6,3811;8,1991;0,4407;0,4762;0,4397;0,506;0,8601;0,7007
LSTMv3.4 (20,[192],0.05,128,0.00402) (Log) (Standard) + 145 (Backtesting [5d]);86eceb0a;0,3921;6,6296;7,9964;0,4407;0,459;0,4402;0,5171;0,85;0,7002
LSTMv3.4 (20,[192],0.05,128,0.00402) (YeoJohnson) (Standard) + 145 (Backtesting [5d]);9d3d9b86;0,305;6,5472;8,5505;0,4576;0,4839;0,4569;0,471;0,8869;0,6998
LSTMv3.4 (30,[192],0.10,64,0.00041) (Log) (Standard) + 456 (Backtesting [5d]);f3e961ae;0,1851;7,8185;9,2586;0,4915;0,5161;0,4908;0,3809;0,9505;0,6942
LSTMv3.4 (20,[192],0.05,128,0.00402) (YeoJohnson) (Standard) + 13456 (Backtesting [5d]);e4a6a011;0,5258;5,5347;7,0629;0,3729;0,4308;0,3713;0,6299;0,7441;0,6927
LSTMv3.4 (20,[160, 160],0.30,64,0.00159) (Log) (Standard) + 24 (Backtesting [5d]);9beb1fa7;0,2392;7,075;8,9459;0,4576;0,5152;0,4557;0,4236;0,9051;0,6884
LSTMv3.4 (30,[192],0.10,64,0.00041) (YeoJohnson) (Standard) + 46 (Backtesting [5d]);330fe671;0,2766;7,0531;8,7229;0,4576;0,4839;0,4569;0,4438;0,8869;0,6875
LSTMv3.4 (30,[192],0.10,64,0.00041) (YeoJohnson) (Standard) + 34 (Backtesting [5d]);1934d912;0,2881;7,3564;8,6535;0,4576;0,4839;0,4569;0,4435;0,8869;0,6874
LSTMv3.4 (20,[160, 160],0.30,64,0.00159) (Log) (Standard) + 23456 (Backtesting [5d]);58a74196;0,3446;6,4675;8,3029;0,4237;0,4848;0,4218;0,4947;0,8428;0,6861
LSTMv3.4 (30,[192],0.10,64,0.00041) (YeoJohnson) (Standard) + 356 (Backtesting [5d]);598643ca;0,0102;7,9179;10,2039;0,5254;0,5333;0,5253;0,292;1,0053;0,6843
LSTMv3.4 (25,[128],0.15,64,0.00082) (YeoJohnson) (Standard) + 26 (Backtesting [5d]);92ea8be9;0,2798;6,943;8,7036;0,4407;0,4923;0,4391;0,448;0,8695;0,6798
LSTMv3.4 (20,[160, 160],0.30,64,0.00159) (YeoJohnson) (Standard) + 2456 (Backtesting [5d]);5933e4ee;0,1602;7,7797;9,3991;0,4746;0,5231;0,473;0,3689;0,9321;0,6787
LSTMv3.4 (30,[192],0.10,64,0.00041) (Log) (Standard) + 46 (Backtesting [5d]);e4b4a6e8;0,0272;7,8655;10,1157;0,5085;0,5397;0,5075;0,3012;0,9866;0,6782
LSTMv3.4 (25,[128],0.15,64,0.00082) (Log) (Standard) + 26 (Backtesting [5d]);aacae2cb;0,2722;6,9559;8,7498;0,4407;0,4762;0,4397;0,4436;0,8601;0,6727
LSTMv3.4 (20,[192],0.05,128,0.00402) (Log) (Standard) + 134 (Backtesting [5d]);4cd1913f;0,343;6,7109;8,3131;0,4237;0,4516;0,423;0,4876;0,8234;0,6723
LSTMv3.4 (20,[192],0.05,128,0.00402) (Log) (Standard) + 146 (Backtesting [5d]);be1444bb;0,3635;6,3681;8,1824;0,4237;0,4138;0,4241;0,5078;0,8012;0,6692
LSTMv3.4 (20,[160, 160],0.30,64,0.00159) (YeoJohnson) (Standard) + 24 (Backtesting [5d]);53540dee;0,0946;7,4245;9,7592;0,4746;0,5231;0,473;0,3427;0,9321;0,6669
LSTMv3.4 (20,[160, 160],0.30,64,0.00159) (Log) (Standard) + 1245 (Backtesting [5d]);bb23b6ab;0,163;7,6522;9,3832;0,4576;0,5152;0,4557;0,3727;0,9051;0,6655
LSTMv3.4 (20,[160, 160],0.30,64,0.00159) (YeoJohnson) (Standard) + 245 (Backtesting [5d]);85b16610;-0,2254;9,5834;11,3533;0,5593;0,5806;0,5586;0,156;1,0776;0,6629
LSTMv3.4 (20,[192],0.05,128,0.00402) (YeoJohnson) (Standard) + 134 (Backtesting [5d]);b820fe40;0,3159;6,9697;8,4828;0,4237;0,4333;0,4236;0,4668;0,8127;0,657
LSTMv3.4 (30,[192],0.10,64,0.00041) (YeoJohnson) (Standard) + 2346 (Backtesting [5d]);aed22a86;0,3839;6,4627;8,0505;0,3898;0,4375;0,3885;0,5167;0,7704;0,6562
LSTMv3.4 (25,[128],0.15,64,0.00082) (Log) (Standard) + 1345 (Backtesting [5d]);dc463ef1;0,1572;7,5348;9,4158;0,4576;0,4839;0,4569;0,3719;0,8869;0,6552
LSTMv3.4 (20,[160, 160],0.30,64,0.00159) (Log) (Standard) + 245 (Backtesting [5d]);ec0a4399;0,0487;8,4642;10,0034;0,4915;0,5;0,4914;0,3019;0,9411;0,6534
LSTMv3.4 (30,[192],0.10,64,0.00041) (YeoJohnson) (Standard) + 456 (Backtesting [5d]);9d8183ce;0,1323;7,8887;9,5539;0,4576;0,4667;0,4575;0,3528;0,8769;0,6411
LSTMv3.4 (25,[128],0.15,64,0.00082) (Log) (Standard) + 356 (Backtesting [5d]);5f4b6a2a;-0,2297;9,4691;11,3734;0,5424;0,5424;0,5425;0,1553;1,033;0,638
LSTMv3.4 (30,[192],0.10,64,0.00041) (Log) (Standard) + 4 (Backtesting [5d]);fc122c09;-0,194;9,4917;11,207;0,5254;0,5484;0,5247;0,1717;1,0141;0,635
LSTMv3.4 (10,[96],0.05,64,0.00042) (Log) (Standard) + 34 (Backtesting [5d]);985d7f4e;-0,008;8,6033;10,297;0,4746;0,4746;0,4747;0,2721;0,9039;0,6196
LSTMv3.4 (30,[192],0.10,64,0.00041) (YeoJohnson) (Standard) + 4 (Backtesting [5d]);6c2d9ca7;-0,2602;9,3515;11,5134;0,5254;0,5333;0,5253;0,1426;1,0053;0,6171
