Configuración del modelo;Hash;R²;MAE;RMSE;Acc.;F1;ROC-AUC;IRB Regr.;IRB Clas.;IRB Total
SARIMAXv2.4 (1, 0, 0)(0, 0, 0, 5) (RetLog) (Standard) + 125;0a6c1d7a;0,7912;4,2097;4,6858;0,9483;0,9524;0,9464;0,9108;1,8072;1,4038
SARIMAXv2.4 (0, 0, 1)(0, 0, 0, 5) (RetLog) + 134;690613b0;0,846;3,5891;4,0241;0,8966;0,8966;0,8976;1,0318;1,7081;1,4038
SARIMAXv2.4 (1, 1, 1)(1, 0, 2, 5) (YeoJohnson) (Standard) + 134;11fc2fcc;0,8544;3,3766;3,9131;0,8814;0,8814;0,8816;1,0653;1,6786;1,4026
SARIMAXv2.4 (0, 0, 2)(0, 0, 0, 5) (RetLog) (Standard) + 146;72bd5598;0,8445;3,6192;4,0437;0,8966;0,8966;0,8976;1,0269;1,7081;1,4015
SARIMAXv2.4 (3, 0, 0)(0, 0, 0, 5) (RetLog) + 2356;5bdb0372;0,8034;3,9647;4,547;0,931;0,9375;0,9286;0,9418;1,7754;1,4003
SARIMAXv2.4 (1, 0, 2)(0, 0, 0, 5) (RetLog) + 145;9149188c;0,8436;3,6775;4,0561;0,8966;0,8966;0,8976;1,0205;1,7081;1,3987
SARIMAXv2.4 (3, 1, 1)(1, 0, 0, 5) (YeoJohnson) (Standard) + 13456;c0451483;0,8192;3,7873;4,3606;0,9153;0,9153;0,9155;0,9756;1,7432;1,3978
SARIMAXv2.4 (1, 0, 0)(0, 0, 0, 5) (RetLog) (Standard) + 1256;e25611ab;0,8049;4,0779;4,5301;0,931;0,9355;0,9298;0,936;1,7749;1,3974
SARIMAXv2.4 (0, 0, 2)(0, 0, 0, 5) (RetLog) (Standard) + 14;16cc4d67;0,8394;3,6991;4,1101;0,8966;0,8966;0,8976;1,0121;1,7081;1,3949
SARIMAXv2.4 (1, 1, 3)(0, 0, 0, 5) (YeoJohnson) (MinMax) + 1346;9635965c;0,847;3,4264;4,0123;0,8814;0,8814;0,8816;1,0478;1,6786;1,3948
SARIMAXv2.4 (3, 0, 3)(0, 0, 0, 5) (RetLog) + 12356;f125dd8a;0,8037;4,1492;4,5442;0,931;0,9355;0,9298;0,9299;1,7749;1,3946
SARIMAXv2.4 (1, 1, 0)(0, 0, 0, 5) (Log) (Standard) + 4;152e4c86;0,8424;3,4421;4,0719;0,8814;0,8923;0,8799;1,0389;1,6841;1,3938
SARIMAXv2.4 (1, 1, 0)(0, 0, 0, 5) (Log) + 4;d1914705;0,8424;3,4421;4,0719;0,8814;0,8923;0,8799;1,0389;1,6841;1,3938
SARIMAXv2.4 (1, 1, 0)(0, 0, 0, 5) (Log) (MinMax) + 4;3499aeeb;0,8424;3,4421;4,0719;0,8814;0,8923;0,8799;1,0389;1,6841;1,3938
SARIMAXv2.4 (1, 1, 1)(1, 0, 0, 5) (YeoJohnson) (Standard) + 1346;9b7307ef;0,8453;3,4798;4,0336;0,8814;0,8814;0,8816;1,0403;1,6786;1,3914
SARIMAXv2.4 (1, 1, 1)(0, 0, 0, 5) (YeoJohnson) (MinMax) + 1345;2a86c46b;0,8309;3,6718;4,2175;0,8983;0,8966;0,8989;1,0014;1,71;1,3911
SARIMAXv2.4 (1, 0, 1)(0, 0, 0, 5) (RetLog) + 1456;20bf67a0;0,8187;3,994;4,3671;0,9138;0,9153;0,9143;0,9599;1,7414;1,3897
SARIMAXv2.4 (0, 0, 1)(0, 0, 0, 5) (RetLog) + 14;d8f94dc6;0,8323;3,8326;4,2002;0,8966;0,8966;0,8976;0,9909;1,7081;1,3854
SARIMAXv2.4 (1, 1, 1)(2, 0, 0, 5) (YeoJohnson) (Standard) + 145;79aab1d5;0,8268;3,819;4,2681;0,8983;0,8966;0,8989;0,9839;1,71;1,3833
SARIMAXv2.4 (1, 1, 2)(0, 0, 1, 5) (YeoJohnson) (Standard) + 1345;1ed196bd;0,8227;3,7667;4,3186;0,8983;0,8966;0,8989;0,982;1,71;1,3824
SARIMAXv2.4 (1, 0, 1)(0, 0, 2, 5) (RetLog) (MinMax) + 135;3b5e46ac;0,8242;3,8091;4,3001;0,8966;0,8966;0,8976;0,9809;1,7081;1,3809
SARIMAXv2.4 (0, 0, 2)(0, 0, 0, 5) (RetLog) + 146;b7cc550a;0,827;3,8979;4,2652;0,8966;0,8966;0,8976;0,9784;1,7081;1,3797
SARIMAXv2.4 (0, 1, 1)(0, 0, 0, 5) (YeoJohnson) + 14;53b7d8d1;0,8244;3,8836;4,2981;0,8983;0,8966;0,8989;0,9756;1,71;1,3796
SARIMAXv2.4 (1, 1, 1)(0, 0, 0, 5) (YeoJohnson) + 146;bd5b6450;0,8206;3,9261;4,3437;0,8983;0,8966;0,8989;0,9673;1,71;1,3758
SARIMAXv2.4 (1, 1, 0)(0, 0, 0, 5) (Log) (MinMax) + 45;ff13362d;0,8357;3,4639;4,1579;0,8644;0,8788;0,8626;1,0264;1,6537;1,3715
SARIMAXv2.4 (0, 1, 1)(0, 0, 0, 5) (Log) + 45;8357dc9d;0,8357;3,4638;4,1576;0,8644;0,8788;0,8626;1,0265;1,6537;1,3715
SARIMAXv2.4 (0, 1, 1)(0, 0, 0, 5) (Log) (Standard) + 45;dd7a6730;0,8357;3,4638;4,1576;0,8644;0,8788;0,8626;1,0265;1,6537;1,3715
SARIMAXv2.4 (0, 1, 1)(0, 0, 0, 5) (Log) (Standard) + 456;f614db70;0,8353;3,473;4,1617;0,8644;0,8788;0,8626;1,0251;1,6537;1,3709
SARIMAXv2.4 (1, 1, 0)(0, 0, 0, 5) (Log) (MinMax) + 456;95a68c07;0,8353;3,4731;4,162;0,8644;0,8788;0,8626;1,0251;1,6537;1,3709
SARIMAXv2.4 (0, 1, 1)(0, 0, 0, 5) (Log) + 456;c3df321e;0,8353;3,473;4,1617;0,8644;0,8788;0,8626;1,0251;1,6537;1,3709
SARIMAXv2.4 (2, 0, 3)(1, 0, 0, 5) (RetLog) (Standard) + 2346;71dc928d;0,7151;4,9033;5,4736;0,9655;0,9677;0,9643;0,7959;1,8393;1,3698
SARIMAXv2.4 (0, 0, 1)(0, 0, 1, 5) (RetLog) (MinMax) + 1356;6d9633f6;0,8597;3,404;3,8411;0,8448;0,8475;0,8452;1,0721;1,6108;1,3684
SARIMAXv2.4 (3, 0, 2)(0, 0, 0, 5) (RetLog) (Standard) + 26;c1c95770;0,7646;4,3881;4,9762;0,931;0,9355;0,9298;0,8703;1,7749;1,3678
SARIMAXv2.4 (3, 0, 2)(0, 0, 0, 5) (RetLog) (Standard) + 2;852afe7b;0,7606;4,4;5,0179;0,931;0,9355;0,9298;0,8654;1,7749;1,3657
SARIMAXv2.4 (2, 0, 0)(0, 0, 0, 5) (RetLog) (Standard) + 3456;024b4fe4;0,8291;3,0641;4,2394;0,8448;0,8615;0,8417;1,058;1,617;1,3654
SARIMAXv2.4 (3, 0, 3)(0, 0, 0, 5) (RetLog) + 1235;da7cdd8a;0,7662;4,5401;4,9584;0,931;0,9355;0,9298;0,8637;1,7749;1,3649
SARIMAXv2.4 (3, 1, 3)(0, 0, 2, 5) (YeoJohnson) + 1456;6cf04da2;0,8071;4,0217;4,5048;0,8983;0,8966;0,8989;0,9426;1,71;1,3647
SARIMAXv2.4 (3, 0, 2)(0, 0, 0, 5) (RetLog) (Standard) + 234;9d6f635a;0,706;4,983;5,5609;0,9655;0,9677;0,9643;0,7842;1,8393;1,3645
SARIMAXv2.4 (3, 0, 0)(0, 0, 0, 5) (RetLog) + 23456;32428be1;0,728;4,7641;5,3484;0,9483;0,9508;0,9476;0,8142;1,807;1,3603
SARIMAXv2.4 (2, 0, 0)(0, 0, 0, 5) (RetLog) + 3456;875c62de;0,8304;3,1988;4,2235;0,8448;0,8615;0,8417;1,0448;1,617;1,3595
SARIMAXv2.4 (1, 1, 0)(0, 0, 0, 5) (Log) (MinMax) + 46;ebe4f05e;0,8417;3,4569;4,0802;0,8475;0,8657;0,8454;1,0366;1,6236;1,3594
SARIMAXv2.4 (1, 1, 0)(0, 0, 0, 5) (Log) + 46;aca4911b;0,8417;3,4569;4,0802;0,8475;0,8657;0,8454;1,0366;1,6236;1,3594
SARIMAXv2.4 (1, 1, 0)(0, 0, 0, 5) (Log) (Standard) + 46;d7941d23;0,8417;3,4569;4,0802;0,8475;0,8657;0,8454;1,0366;1,6236;1,3594
SARIMAXv2.4 (2, 0, 0)(0, 0, 0, 5) (RetLog) (Standard) + 345;a3d26234;0,8203;3,0962;4,3472;0,8448;0,8657;0,8405;1,0418;1,6187;1,3591
SARIMAXv2.4 (2, 0, 0)(0, 0, 0, 5) (RetLog) + 345;0fa98f5b;0,8238;3,2079;4,3048;0,8448;0,8657;0,8405;1,0343;1,6187;1,3557
