Configuración del modelo;Hash;R²;MAE;RMSE;Acc.;F1;ROC-AUC;IRB Regr.;IRB Clas.;IRB Total
LSTMv3.4 (25,[128],0.15,64,0.00082) (YeoJohnson) (Standard) + 56;2fa3ea8c;0,4189;6,5747;7,8186;0,5085;0,5538;0,5069;0,5338;0,9948;0,7873
LSTMv3.4 (25,[128],0.15,64,0.00082) (YeoJohnson) (Standard) + 13;f0988cbb;0,1896;8,1202;9,233;0,5763;0,6154;0,5747;0,378;1,1201;0,7862
LSTMv3.4 (20,[160, 160],0.30,64,0.00159) (YeoJohnson) (Standard) + 1234;17fa9562;-0,2755;10,52;11,5832;0,678;0,7324;0,6747;0,1225;1,322;0,7822
LSTMv3.4 (20,[160, 160],0.30,64,0.00159) (YeoJohnson) (Standard) + 246;9607ac6b;-0,3276;10,6396;11,8175;0,6949;0,7273;0,6931;0,0973;1,3418;0,7818
LSTMv3.4 (20,[192],0.05,128,0.00402) (YeoJohnson) (Standard) + 145;9d3d9b86;-0,2422;10,5698;11,4311;0,678;0,678;0,6782;0,1375;1,2912;0,772
LSTMv3.4 (20,[160, 160],0.30,64,0.00159) (YeoJohnson) (Standard) + 24;53540dee;-0,4046;11,0624;12,1553;0,6949;0,7353;0,6925;0,0582;1,3463;0,7666
LSTMv3.4 (25,[128],0.15,64,0.00082) (YeoJohnson) (Standard) + 346;96a14040;0,2102;7,4757;9,1148;0,5424;0,5846;0,5408;0,4002;1,0575;0,7617
LSTMv3.4 (30,[192],0.10,64,0.00041) (Log) (Standard) + 25;a67bc034;-0,5624;12,1079;12,8199;0,7288;0,7419;0,7282;-0,0218;1,3955;0,7577
LSTMv3.4 (10,[96],0.05,64,0.00042) (YeoJohnson) (Standard) + 1356;48801527;-0,3645;9,3497;11,9803;0,678;0,678;0,6782;0,0946;1,2912;0,7528
LSTMv3.4 (30,[192],0.10,64,0.00041) (Log) (Standard) + 456;f3e961ae;0,2683;7,0872;8,773;0,5085;0,5246;0,508;0,4387;0,9778;0,7352
