Configuración del modelo;Hash;R²;MAE;RMSE;Acc.;F1;ROC-AUC;IRB Regr.;IRB Clas.;IRB Total
SARIMAXv2.4 (3, 1, 0)(1, 0, 1, 5) (YeoJohnson) + 2;e0022838;0,7563;3,5763;5,0633;0,4915;0,5312;0,4902;0,9184;0,9593;0,9409
SARIMAXv2.4 (1, 1, 0)(0, 0, 1, 5) (Log) (Standard) + 235;eed04b28;0,7765;3,598;4,8485;0,4746;0,5231;0,473;0,9381;0,9321;0,9348
SARIMAXv2.4 (1, 1, 0)(1, 0, 0, 5) (Log) (Standard) + 2356;60b20e0d;0,7768;3,6037;4,8458;0,4746;0,5231;0,473;0,9379;0,9321;0,9348
SARIMAXv2.4 (1, 1, 0)(1, 0, 0, 5) (Log) (MinMax) + 2356;de265fee;0,7768;3,6097;4,8454;0,4746;0,5231;0,473;0,9375;0,9321;0,9345
SARIMAXv2.4 (1, 1, 0)(1, 0, 0, 5) (Log) + 2356;160f2fd6;0,7768;3,6097;4,8454;0,4746;0,5231;0,473;0,9375;0,9321;0,9345
SARIMAXv2.4 (1, 1, 0)(1, 0, 0, 5) (Log) (MinMax) + 235;98f6c3c4;0,7759;3,6079;4,8547;0,4746;0,5231;0,473;0,9367;0,9321;0,9342
SARIMAXv2.4 (1, 1, 0)(1, 0, 0, 5) (Log) + 235;9e643b0c;0,7759;3,6078;4,8547;0,4746;0,5231;0,473;0,9367;0,9321;0,9342
SARIMAXv2.4 (2, 0, 0)(0, 0, 0, 5) (RetLog) + 6;58cdcf9d;0,8088;3,2989;4,4847;0,4483;0,4839;0,4464;1,0045;0,8741;0,9328
SARIMAXv2.4 (2, 0, 0)(0, 0, 0, 5) (RetLog) (Standard) + 6;bcedf71a;0,8086;3,2968;4,4862;0,4483;0,4839;0,4464;1,0046;0,8741;0,9328
SARIMAXv2.4 (0, 1, 0)(1, 0, 0, 5) (Log) + 23456;ccee6c5e;0,7788;3,5614;4,8239;0,4746;0,5079;0,4736;0,9438;0,9233;0,9326
SARIMAXv2.4 (0, 1, 0)(0, 0, 0, 5) (Log) (MinMax) + 23456;c75eb6f7;0,7789;3,5616;4,823;0,4746;0,5079;0,4736;0,9439;0,9233;0,9326
SARIMAXv2.4 (0, 1, 0)(0, 0, 0, 5) (Log) (Standard) + 23456;612b8df5;0,7789;3,5616;4,823;0,4746;0,5079;0,4736;0,9439;0,9233;0,9326
SARIMAXv2.4 (0, 1, 0)(0, 0, 0, 5) (Log) (Standard) + 2345;61960aa8;0,778;3,5618;4,8327;0,4746;0,5079;0,4736;0,9429;0,9233;0,9321
SARIMAXv2.4 (0, 1, 0)(0, 0, 0, 5) (Log) (MinMax) + 2345;4.0492000000000003e+80;0,778;3,5618;4,8327;0,4746;0,5079;0,4736;0,9429;0,9233;0,9321
SARIMAXv2.4 (0, 1, 0)(1, 0, 0, 5) (Log) + 2345;2e6ab827;0,7779;3,5614;4,8338;0,4746;0,5079;0,4736;0,9428;0,9233;0,9321
SARIMAXv2.4 (3, 1, 0)(1, 0, 1, 5) (Log) (Standard) + 256;7e04a487;0,7786;3,5732;4,8259;0,4746;0,5079;0,4736;0,9426;0,9233;0,932
SARIMAXv2.4 (3, 1, 0)(1, 0, 1, 5) (Log) (MinMax) + 256;19ec95df;0,7781;3,5849;4,8314;0,4746;0,5079;0,4736;0,941;0,9233;0,9313
SARIMAXv2.4 (3, 1, 0)(1, 0, 1, 5) (Log) + 256;5125aa6a;0,7781;3,5849;4,8314;0,4746;0,5079;0,4736;0,941;0,9233;0,9313
SARIMAXv2.4 (1, 1, 0)(1, 0, 0, 5) (Log) (Standard) + 236;8050d2c7;0,7696;3,6402;4,923;0,4746;0,5231;0,473;0,927;0,9321;0,9298
SARIMAXv2.4 (3, 1, 0)(1, 0, 1, 5) (Log) + 2;49ccfeff;0,7753;3,5894;4,8618;0,4746;0,5079;0,4736;0,9375;0,9233;0,9297
SARIMAXv2.4 (3, 1, 0)(1, 0, 1, 5) (Log) (MinMax) + 2;06aa7bc2;0,7753;3,5894;4,8618;0,4746;0,5079;0,4736;0,9375;0,9233;0,9297
SARIMAXv2.4 (2, 1, 0)(0, 0, 0, 5) (YeoJohnson) (Standard) + 36;ab029bc6;0,6214;4,361;6,3109;0,5593;0,5806;0,5586;0,7482;1,0776;0,9294
SARIMAXv2.4 (1, 1, 0)(1, 0, 0, 5) (Log) (Standard) + 23;ff0629ad;0,7686;3,6389;4,9335;0,4746;0,5231;0,473;0,9261;0,9321;0,9294
SARIMAXv2.4 (2, 1, 0)(0, 0, 0, 5) (YeoJohnson) + 36;f0d15e4b;0,6209;4,3616;6,315;0,5593;0,5806;0,5586;0,7478;1,0776;0,9292
SARIMAXv2.4 (2, 1, 0)(0, 0, 0, 5) (YeoJohnson) (MinMax) + 36;247aeea9;0,6207;4,3648;6,3165;0,5593;0,5806;0,5586;0,7475;1,0776;0,9291
