Configuración del modelo;Hash;R²;MAE;RMSE;Acc.;F1;ROC-AUC;IRB Regr.;IRB Clas.;IRB Total
Transformerv3.4 (10,64,8,2,0.25,96,0.00368) (Log) (Standard) + 2346;d9dfe7ec;-4,0288;21,2201;22,9994;0,5085;0,5397;0,5075;-1,538;0,9866;-0,1495
Transformerv3.4 (15,64,4,2,0.30,128,0.00023) (Log) (Standard) + 45;c3bed35f;-4,1917;19,0319;23,3691;0,5254;0,5333;0,5253;-1,6;1,0053;-0,1671
Transformerv3.4 (10,128,4,1,0.15,128,0.00075) (Log) (Standard) + 136;b5b40ecb;-4,0046;21,1343;22,9442;0,4746;0,4746;0,4747;-1,5277;0,9039;-0,1903
Transformerv3.4 (10,128,4,1,0.15,128,0.00075) (Log) (Standard) + 135;c8e525dc;-4,4513;22,6864;23,9462;0,5085;0,5538;0,5069;-1,7176;0,9948;-0,2258
Transformerv3.4 (10,128,4,1,0.10,128,0.00475) (YeoJohnson) (Standard) + 2346;3feeb8dc;-5,0106;23,6358;25,1446;0,6102;0,6462;0,6086;-1,9524;1,1828;-0,2281
Transformerv3.4 (15,64,4,2,0.30,128,0.00023) (Log) (Standard) + 2356;cc0bb941;-4,5464;21,7387;24,1541;0,5085;0,5246;0,508;-1,7551;0,9778;-0,252
Transformerv3.4 (10,128,4,1,0.10,128,0.00475) (Log) (Standard) + 234;7e42ff68;-3,9711;21,5991;22,8672;0,3898;0,3793;0,3902;-1,5148;0,7363;-0,2767
Transformerv3.4 (10,64,8,2,0.25,96,0.00368) (YeoJohnson) (Standard) + 145;53480ce9;-4,2395;22,0459;23,4765;0,4237;0,4516;0,423;-1,6279;0,8234;-0,2797
Transformerv3.4 (10,128,4,1,0.15,128,0.00075) (Log) (Standard) + 236;540f1207;-5,0105;24,2477;25,1444;0,5593;0,5667;0,5592;-1,9536;1,0695;-0,2909
Transformerv3.4 (10,128,4,1,0.15,128,0.00075) (YeoJohnson) (Standard) + 235;217129af;-5,7687;25,8718;26,6833;0,678;0,7164;0,6759;-2,2716;1,313;-0,3
Transformerv3.4 (10,128,4,1,0.10,128,0.00475) (YeoJohnson) (Standard) + 36;44ddd073;-5,2208;22,9844;25,5805;0,5424;0,5263;0,5431;-2,0386;1,0236;-0,3543
Transformerv3.4 (10,128,4,1,0.10,128,0.00475) (YeoJohnson) (Standard) + 34;3335077c;-4,7263;21,9261;24,5428;0,4576;0,4074;0,4592;-1,8305;0,8421;-0,3606
Transformerv3.4 (15,64,4,2,0.30,128,0.00023) (Log) (Standard) + 24;c86c209f;-5,4063;24,7455;25,9591;0,5593;0,5667;0,5592;-2,1191;1,0695;-0,3653
Transformerv3.4 (10,128,4,1,0.15,128,0.00075) (YeoJohnson) (Standard) + 346;533bfc34;-5,1586;23,7066;25,4524;0,4576;0,4483;0,458;-2,0142;0,8661;-0,43
Transformerv3.4 (10,64,8,2,0.25,96,0.00368) (YeoJohnson) (Standard) + 156;41f4d4d3;-5,5808;24,0978;26,3103;0,5085;0,5085;0,5086;-2,1904;0,9684;-0,453
Transformerv3.4 (10,128,4,1,0.10,128,0.00475) (YeoJohnson) (Standard) + 2345;a4ff3c91;-5,7521;25,0732;26,6505;0,4746;0,5231;0,473;-2,2633;0,9321;-0,5058
Transformerv3.4 (10,128,4,1,0.10,128,0.00475) (Log) (Standard) + 2345;ca1ad2c7;-6,317;26,2361;27,7429;0,5593;0,5806;0,5586;-2,4997;1,0776;-0,5321
Transformerv3.4 (15,64,4,2,0.30,128,0.00023) (YeoJohnson) (Standard) + 2;7f5790c8;-6,6613;23,7676;28,3882;0,5085;0,4912;0,5092;-2,6381;0,9584;-0,66
Transformerv3.4 (10,128,4,1,0.15,128,0.00075) (Log) (Standard) + 1235;4cfab6f8;-6,9534;26,4462;28,9243;0,5424;0,5714;0,5414;-2,7638;1,0499;-0,6663
Transformerv3.4 (10,128,4,1,0.10,128,0.00475) (YeoJohnson) (Standard) + 3;b5f4a987;-6,082;24,4869;27,2938;0,4068;0,3636;0,408;-2,3992;0,7494;-0,6675
Transformerv3.4 (20,96,8,1,0.10,96,0.00069) (Log) (Standard) + 34;bf20d528;-7,2208;26,8338;29,4065;0,4915;0,4828;0,492;-2,8752;0,931;-0,7818
Transformerv3.4 (10,128,4,1,0.15,128,0.00075) (YeoJohnson) (Standard) + 4;e48c1ca7;-7,49;28,5496;29,8841;0,5424;0,5263;0,5431;-2,9891;1,0236;-0,7821
Transformerv3.4 (10,64,8,2,0.25,96,0.00368) (Log) (Standard) + 235;fd9b6a22;-6,8225;27,4265;28,6853;0,3729;0,4308;0,3713;-2,7111;0,7441;-0,8107
Transformerv3.4 (30,64,4,2,0.20,128,0.00448) (Log) (Standard) + 46;ff8ecc65;-7,742;27,4466;30,3244;0,5085;0,5246;0,508;-3,0919;0,9778;-0,8536
Transformerv3.4 (10,64,8,2,0.25,96,0.00368) (YeoJohnson) (Standard) + 345;577d10bc;-8,1558;29,3818;31,0337;0,4746;0,4918;0,4741;-3,2657;0,9139;-0,9669
Transformerv3.4 (15,64,4,2,0.30,128,0.00023) (YeoJohnson) (Standard) + 1235;93228de5;-9,4874;31,7478;33,2139;0,6441;0,6557;0,6437;-3,8191;1,2334;-1,0402
Transformerv3.4 (10,128,4,1,0.15,128,0.00075) (Log) (Standard) + 13;b1be12a3;-8,5565;29,1065;31,7056;0,4576;0,4483;0,458;-3,4311;0,8661;-1,0677
Transformerv3.4 (15,96,4,2,0.25,96,0.00053) (Log) (Standard) + 245;818b9e6f;-10,4403;33,8402;34,69;0,6102;0,6462;0,6086;-4,2148;1,1828;-1,2461
Transformerv3.4 (15,64,4,2,0.30,128,0.00023) (Log) (Standard) + 134;1aa7ba62;-11,649;34,5899;36,4766;0,5593;0,5806;0,5586;-4,7145;1,0776;-1,5288
Transformerv3.4 (10,128,4,1,0.15,128,0.00075) (Log) (Standard) + 23;ca483947;-11,9333;35,1771;36,8843;0,5932;0,625;0,592;-4,8323;1,1482;-1,543
Transformerv3.4 (20,96,8,1,0.10,96,0.00069) (YeoJohnson) (Standard) + 13;504278a5;-11,5107;34,0837;36,2767;0,4237;0,4848;0,4218;-4,6569;0,8428;-1,6321
Transformerv3.4 (10,128,8,1,0.15,64,0.00019) (YeoJohnson) (Standard) + 123;30969bd3;-13,7729;36,8387;39,4202;0,4576;0,4667;0,4575;-5,5925;0,8769;-2,0343
Transformerv3.4 (10,128,4,1,0.15,128,0.00075) (Log) (Standard) + 3;f3f90412;-18,144;40,7272;44,8748;0,4915;0,4444;0,4931;-7,3966;0,9086;-2,8288
Transformerv3.4 (15,64,4,2,0.30,128,0.00023) (YeoJohnson) (Standard) + 2356;b2e4b6a2;-19,1946;41,9225;46,0897;0,4407;0,459;0,4402;-7,83;0,85;-3,056
